PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=3.43 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=0.572 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=0.537 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=0.725 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=0.744 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=0.772 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=0.437 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=0.718 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=1.02 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=1.39 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=20.1 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=0.506 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=0.518 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=0.504 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=0.405 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=0.425 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=0.574 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=0.383 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=0.686 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=2.32 ms
